Callsign,Origin,Destination,Aircraft
,BFI,HIO,PC12
,BGT,MCO,A321
,RNT,VCV,Unknown
,ABY,GUY,B39M
,STP,FAR,PA46
,VYS,SEA,B763
,WJF,MIT,P28R
,SFO,SEA,B739
,PDK,SUS,BE36
,AVW,DMA,C172
,FYV,AFW,BE36
,CLE,OKM,B763
,SHD,LAX,A21N
,SKF,JCY,B407
,PHX,MIA,A21N
,TPA,CLD,B739
,JCT,AUS,Unknown
,ADS,ATE,S22T
,PIT,PDX,B738
,APA,AFF,C172
,RVS,DVT,C525
,LAS,BEH,F2TH
,FDK,GAI,C172
,LGB,TOA,SLG4
,ISM,TMB,P28R
,PBI,BNA,C680
,NPH,PVU,CRUZ
,DAY,CMH,CRJ9
,TVF,MIC,J328
,PSP,TRM,C172
,CNK,MIQ,C501
,STP,LKV,C25C
,POB,LHR,B77W
,RCR,TYS,CRJ7
,MZJ,AVW,C172
,CLT,PHL,A319
,AVX,TOA,C182
,LND,WRL,BE9L
,ORD,SBO,B753
,DAL,OBE,CL35
,RSN,IAH,E75L
,SOP,USA,C172
,BNA,VPZ,S22T
,PBI,MTH,FA7X
,SPZ,ATL,A332
,DMA,WDR,B738
,FIL,TCS,B738
,GLH,HSV,A319
,MDW,CLE,C68A
,PHX,NUQ,B737
,JFK,MYG,B738
,OAK,EED,E145
,DVT,RNO,TBM9
,NKX,SBD,C172
,NQI,RKP,HAWK
,YLW,YRV,B38M
,YXL,ZUC,R22
,YVR,CUN,B738
,GRU,GVR,B738
,CGH,AQA,A319
,BAT,VOT,Unknown
,BOG,GIR,A319
,FSM,GVT,Unknown
,ELT,CCE,B738
,ATH,JSY,A20N
,IHR,ESB,A359
,GYM,CEN,A320
,MAD,TFN,B738
,SDB,OVD,A359
,ANR,ORY,B738
,LUG,RTM,E55P
,YHZ,YUL,E170
,BZZ,AKT,C17
,JFK,IUD,A333
,WAW,SUJ,B38M
,BTS,BQH,CL35
,NQY,MAN,E55P
,BQH,PRG,E55P
,OSL,BGO,B738
,TAW,KCO,A359
,IST,SAW,A21N
,BEY,AOE,B38M
,DCI,FCO,B738
,XSP,SZB,GLEX
,SIN,RUP,A319
,CHF,RSU,B739
,YLS,ADQ,B77W
,ICN,KUT,A359
,TST,KUL,B738
,CRK,SGL,A333
,AOY,AUH,A320
,SIN,BKI,E290
,FUO,ZUH,A321
,TYN,TSN,B738
,SZX,ZUH,A320
,TSN,DAT,A320
,KGD,PEK,B789
,SZX,CNI,B738
,DDG,CNI,A20N
,CAN,FOC,A21N
,PER,NRG,A319
,KUL,DEL,A20N
,DEL,HYD,A20N
,BLR,NMB,B38M
