Callsign,Origin,Destination,Aircraft
,DVT,FTW,K100
,HNL,LUP,CL60
,FNL,STK,C172
,UOX,MKC,C56X
,FLL,TPA,A21N
,MRF,ALN,CL35
,DEN,GCK,B737
,PIT,ANU,CL35
,GUY,DHT,BE20
,MTO,BNA,BE9L
,BXK,AZA,P28A
,MAE,CHS,B738
,ISM,GSP,S22T
,JAX,TUP,B739
,YYZ,DAN,C25B
,GGE,SLC,B738
,PRB,SBP,C72R
,DRO,SCF,E145
,SAV,IND,CRJ9
,ILM,BQN,A321
,CTW,FLG,H53S
,YWG,YBV,SW4
,YZE,MKG,E295
,YET,YEG,B350
,WLG,NSN,DH8C
,POJ,CGH,B737
,BQE,SBI,CRJ9
,OGU,DIA,B788
,AZP,TLC,E190
,BGT,MMC,A21N
,PMI,MAD,B738
,BHU,CDG,B77L
,LCA,STR,E35L
,TPA,LAS,A332
,MUC,POZ,CRJ9
,SUH,YVR,A359
,DEB,TYN,B77L
,LHR,RCY,B772
,VBS,RCS,A21N
,MMX,EMA,B738
,ATH,JSY,A320
,AMS,OSL,A21N
,ZRH,LIS,A20N
,UME,ARN,PC24
,KUT,CCE,A332
,YEI,AOE,A21N
,VCE,STN,B738
,LAI,MAN,B38M
,LIN,SGD,AT75
,BZL,CGP,Unknown
,MIA,TLV,B789
,PKX,SIN,B788
,SZX,MFM,B738
,CAN,XSP,CL60
,SZX,WMI,B77W
,DDG,TSN,A21N
,MNL,HDG,B738
,BBI,PNQ,A20N
,BLR,PNQ,A21N
,DAT,DOH,B789
,AOY,DXB,B38M
,TKF,CCR,C425
,AZA,ERV,M20P
,HSH,VNY,SR20
,IAH,BTY,B39M
,VIS,PSP,E75L
,FAF,USA,SR20
,HKG,SFO,B77W
,NQI,FTW,GA5C
,PTN,SEA,B739
,HDE,BOI,C68A
,MSN,MDD,E55P
,MNZ,NYG,C172
,EMP,TOP,C172
,EWR,LAS,B739
,FPO,PPM,DA62
,FDY,BCT,CL35
,MBS,STJ,SBR1
,ORL,BHM,BE40
,CLT,RKH,A21N
,CLE,DAG,GLF4
,PLS,LAS,GLEX
,AZP,MEX,A20N
,EWR,ILM,CRJ7
,DFW,LAS,A321
,MIA,CTZ,B763
,SLC,BOI,P210
,AUS,SNA,C560
,HLB,MWO,C172
,TIX,MLJ,SF50
,HPN,ORD,C56X
,OLM,TWD,C150
,SIY,RMY,C501
,BXS,HHR,RV8
,PAO,MRY,TBM7
,DEN,COU,C68A
,CLG,SBP,C172
,HNL,NGF,R66
,SLC,VNY,GLF5
,ISM,ATL,B739
,GWS,LAS,LJ45
,FNT,DTW,CRJ9
,NOT,SRF,R44
,LIT,ORD,A319
,ELZ,BWI,B738
,GUP,GRR,B738
,MAE,PHL,G150
,LAS,SPS,F2TH
,LGD,RDM,EPIC
,CWA,MSP,CRJ9
,FCY,FLL,B739
,CHO,MNZ,SR22
,OAK,PBI,CL30
,AVW,HES,B39M
,SCF,ERV,BE20
,BNE,SZP,B789
,YHE,YXS,DH8D
,CYO,YOW,E295
,SSW,YVR,DHC2
,TIU,DUD,HROC
,CGH,UDI,A320
,GRU,TLZ,A320
,SAO,SOD,FA50
,OUD,RBA,B38M
,BJA,PEK,A339
,SAQ,MIA,B737
,BOG,PSE,A20N
,TIJ,PBC,A320
,MTY,MMC,A320
,NMB,STV,A359
,BGY,MXP,B738
,RZE,DRS,CRJ9
,LHR,CND,A20N
,FRA,CND,B77L
,SNN,AMM,E35L
,SLU,LHR,B772
,PNR,LGW,B789
,LGW,TIV,A21N
,MAN,BFS,B738
,LEJ,INN,B752
,XLS,RDT,A333
,AJR,ZRH,A320
,ANR,URO,B738
,KZI,SKP,A320
,MJF,BGO,DH8D
,ANR,BRE,E190
,AZI,XXN,BE9L
,RTM,AMS,A21N
,WAW,RKT,B38M
,MAD,TFS,A20N
,ISL,TEQ,GLF4
,IST,ESB,A332
,YEI,BQT,A21N
,NCL,DUB,B738
,FAO,RMS,PC24
,CMF,LTN,E190
,KUT,BBU,B737
,LAX,TLV,B789
,SUH,XXN,A332
,SIN,NYN,B77W
,TVY,SUH,A20N
,HKG,HUZ,GLF5
,HUZ,HKG,A321
,MEB,COJ,B350
,PER,LNO,F100
,AVV,MBW,PA30
,HND,TJH,A20N
,PWT,CGK,B789
,RUH,DOH,A21N
,AOY,BND,B38M
,SUB,DPS,AJ27
,ABY,MQW,A321
,LGF,BXK,P28A
,RTN,SFO,B39M
,DAG,SEA,E75L
,ROC,TOL,A320
,GVL,SUA,RV6
,UVA,RND,B06
,SGF,MKC,E75L
,AUS,KLS,E75L
,CGS,MSY,BCS3
,VQQ,CRI,B38M
,CCU,CGN,B763
,CLT,RKH,EC35
,MSO,SBA,E55P
,FOE,SCF,BE40
,SAT,KYO,C25B
,ELY,SFH,B739
,SLC,CTH,GLF4
,RDU,ISM,CL30
,APA,BFK,E55P
,SBP,WJF,RV9
,MKC,JLN,BE40
,CEN,TLC,A20N
,LQK,GMU,C152
,SPF,FAR,CRJ7
,SEE,CLD,P28B
,PBI,MCO,C25C
,SLC,MSP,A21N
,ERI,MUO,B738
,CLT,PGL,CRJ9
,DAB,CRG,P28A
,MIF,OZA,PA24
,SHD,CLT,E145
,RKH,CHS,XL2
,HOT,PWA,LJ31
,GYM,WRL,PC12
,CLT,SUA,C25B
,NAS,DAB,A21N
,DFW,ORD,E170
,FLL,MCO,B739
,TPA,BUR,CL35
,PCT,PIT,E75L
,RIW,CLD,BE36
,TSP,HHR,S22T
,MSP,RMG,A333
,SLX,CRX,B739
,IRK,MCI,B738
,EGE,LAR,C56X
,TXK,DAL,BE20
,GLB,MSC,BE95
,AUO,GSO,BE9L
,RAP,RST,LJ45
,TVL,TKF,C172
,CLT,GCY,E145
,RBK,TSP,PRM1
,SFH,HIO,E55P
,HSH,MAE,G150
,ATL,LZU,B739
,SLC,CLD,CL60
,YQB,YUL,B738
,GFL,YUL,B788
,HTH,YVR,C560
,CDN,YMW,E295
,ISJ,YUL,A332
,CHC,KBZ,PARA
,CWB,BJP,A320
,GRU,BPG,A320
,WPA,SSD,A321
,PDL,PLU,E550
,FAO,RTM,Unknown
,LAX,OXR,Unknown
,SEE,BLD,Unknown
,SMW,NNA,B38M
,NLD,NTR,GLF5
,MXC,CEN,H25B
,MTY,TEB,F2TH
,DMK,MNU,A359
,MAD,ORY,A321
,TTB,BCN,A321
,FRA,QND,A20N
,MEX,MUC,A359
,BXJ,TYN,B77L
,HOQ,MRS,PC24
,LCY,BER,E190
,ANU,LKO,B789
,LEJ,CDG,B752
,BUS,ANR,B748
,COV,ATH,A320
,NBO,AMS,B744
,AMS,KRS,E190
,YEI,IST,B738
,ELT,IST,A333
,VAS,ELT,A21N
,CIA,MAN,B38M
,ANR,OXF,PC12
,SAW,TDX,A21N
,LFM,KNR,B733
,LXS,OWK,B789
,STN,VAS,CL60
,TRV,COK,A21N
,TKH,PHY,A321
,HUZ,FOC,A321
,DAT,SZX,B77L
,ADL,HBA,C25A
,HSS,DEL,AT76
,HND,DEL,B789
,YGJ,KMI,A320
,TJQ,CGK,A320
,ENA,DRF,PA18
,ELA,GLS,PA46
,LAS,ENW,F900
,BZF,SAC,C172
,FYV,EDC,SR20
,ORD,STL,E75L
,IAH,CYS,A321
,TPA,FLL,B38M
,HCA,SFO,B39M
,OPF,SPG,SR22
,MDD,BKD,BE35
,EDC,SEP,P28B
,DCU,CVG,BCS3
,MKC,TOP,RS21
,OPF,ACY,Unknown
,JRF,HNL,F2TH
,ULM,ENL,A320
,SYR,ROL,B738
,UST,MLB,P06T
,DUA,CHK,C182
,ARA,CNW,P28R
,HNL,LAS,A332
,SVC,OAK,B737
,POP,OPF,CL60
,SZP,SJC,E545
,TEQ,MIA,B744
,TEB,STT,CL60
,FWA,LPO,CRJ7
,LFI,MIA,A321
,MAM,SAF,A21N
,CHS,SRQ,E55P
,EYW,CUN,C650
,MHS,CEZ,E75L
,DTW,IAD,E170
,HYL,LAX,B38M
,MYF,BXS,C172
,VCV,LGF,FDCT
,ORD,CDN,A319
,LSN,SBP,C182
,ORD,MSO,E75L
,OPF,GDT,E55P
,APF,HAR,C25B
,SBA,YVE,C25A
,DEN,LAX,E75L
,BAB,JAC,S22T
,ICT,SGF,Unknown
,LAS,PVD,F2TH
,BNA,MGE,C680
,MKE,FYV,B38M
,SNA,FLL,C700
,CDH,GAD,PC12
,OPF,WKR,H25B
,FXY,DSM,B429
,CLK,XNA,H53S
,YLW,YVE,DHC2
,MLT,YYZ,B06
,YUL,CMX,B788
,YMX,LXV,E295
,GRU,AQA,A320
,BJP,PVI,A321
,QNS,JTC,B738
,WPA,SCL,RJ85
,GXQ,SCL,BE9L
,RIV,NZY,Unknown
,FXE,PHK,Unknown
,PDV,MCT,B77W
,SAW,IST,B738
,MUC,WRO,CRJ9
,LVP,DOH,A359
,FRA,NDC,B77L
,STR,DUB,C56X
,AQJ,IUD,B772
,BBP,SOU,DA42
,WAT,EMA,B738
,BED,LTN,GL7T
,LFM,NHD,B748
,OPO,EMA,B752
,EMA,CPH,B734
,AMS,HHN,B744
,AMS,HEL,A21N
,ONQ,RDT,A332
,IST,MUC,B738
,DXB,BDM,A21N
,BCN,BGY,B38M
,DUB,NCL,B738
,AGP,PMI,PC24
,OMR,VIE,A320
,ZAZ,BRI,A333
,HCN,KUL,B739
,KHH,TXG,A320
,MQL,SZX,A333
,FUO,BZL,B77L
,CAN,HUZ,AJ27
,BNE,GYP,BE20
,AVV,MEB,EC30
,DEL,STV,A20N
,TTJ,ITM,E75L
,HKD,ITM,DH8D
,MMJ,FUJ,B788
,TSA,HND,B789
,ADL,AYM,B789
,SFB,SSI,A321
,AZA,MSC,DA42
,MSC,LGF,C150
,SYI,FYM,PA44
,HOP,PHT,EC35
,SYD,LAX,B789
,PBI,MMU,TBM9
,KYO,RSW,PA32
,WIB,IAH,B737
,DEN,TPA,B38M
,FLL,MCO,A21N
,OGG,RIL,B772
,JRF,EWR,B77W
,TEB,JAX,C56X
,LEE,WTD,C182
,AUS,BJC,C310
,DAB,CAE,DA42
,PIC,HMT,B38M
,LGF,WLW,G2CA
,DTW,SRF,A319
,PIC,IAD,A320
,ATL,LZU,EC30
,YCE,MCO,C25B
,IFP,PRC,PA46
,FRN,MRI,PA34
,FLL,GCM,GLF4
,VSA,SJC,GLF4
,RIC,BVX,C25A
,TTD,BNA,B738
,HWD,SNS,C172
,RSN,LEX,C650
,AUG,WVL,C182
,FAR,OWB,CRJ7
,PIE,SIG,G150
,EGE,GSP,C560
,TPA,SLC,A21N
,LOW,CUN,A320
,FLG,SCF,M20P
,LAS,FTW,GLEX
,ORD,PWK,E170
,JAS,IAH,B739
,MIA,CVG,B763
,IND,GSP,E75L
,CHO,MEM,CRJ7
,LAL,LBT,B738
,JCY,FTW,P28A
,LAS,LGA,B738
,AVL,BTR,C56X
,IAH,MSY,B738
,EWK,CMH,B38M
,CDG,ICN,B77L
,ATL,PIT,B38M
,AIZ,FET,PA24
,ATL,LNP,B739
,MQY,ECP,A119
,MQY,APA,SF50
,ZBM,ACK,B762
,PIE,PSX,BE20
,YVR,LAX,B38M
,PHX,YYZ,E295
,YEG,YDC,BE20
,FLN,COC,B38M
,LOB,QRC,F2TH
,JHF,UDI,Unknown
,SKW,BVU,Unknown
,HHR,LAX,Unknown
,TPS,PMO,A139
,LCL,VRO,A359
,CPT,PNR,A343
,ERZ,LIN,A20N
,YQI,MIA,A359
,QGP,CGN,CL60
,AQJ,LHR,A339
,FAB,AMS,FA7X
,EUN,CZL,A333
,SCN,BRQ,PC12
,HEW,MLO,A320
,TOS,VDS,DH8A
,OSL,ARN,B38M
,ARN,SDL,PC24
,PKV,TIP,A332
,CGN,BDM,A21N
,LGG,YZV,B744
,BXJ,ALA,B738
,SKG,YGR,B789
,MFK,SIN,B788
,HDG,CNI,B738
,NAY,PKX,A319
,PEK,NAY,A321
,CUG,OAG,R44
,TSV,NTL,C17
,NMI,LSX,A20N
,NGO,KMI,B738
,SRG,SOC,A320
,SCH,MSP,A321
,GIF,TLH,UH1
,OPF,DMN,GL5T
,MLF,MSP,BCS1
,AKO,IML,E75L
,TPF,CSG,S22T
,MNL,DTE,B38M
,TPA,EWR,B39M
,BNA,OCA,C560
,COI,DAB,C172
,KOA,HNL,A21N
,IND,RIC,MU2
,BTR,CLG,BCS3
,ANC,CNW,B763
,BOS,OOA,E75L
,WPO,DFW,A320
,TNF,CEQ,C425
,NJK,ORD,B739
,RDU,TRI,B737
,MIA,AUS,B738
,ORD,IWS,A320
,DTA,PVU,C182
,LVK,HWD,BT36
,BTF,LGU,DA40
,TPA,HLC,B739
,BOS,MVY,C402
,VNY,SZP,GLF4
,DHT,VNY,CL30
,HIF,BTF,DA42
,SEA,TRM,E75L
,BXK,DVT,R66
,NKX,CLD,C172
,NNK,WSN,P28A
,ORD,SBM,CRJ7
,ATL,ICN,Unknown
,CMI,ICL,SR22
,VEL,GHC,LJ45
,TCB,USC,C68A
,BFM,CTZ,RV8
,MLB,MSN,CRJ9
,HSH,DUB,GLF6
,BZN,ISP,C25B
,LGB,TOA,C172
,EED,VGT,DA40
,SJC,BNA,C680
,JNU,BFI,PC12
,OXC,LGA,A320
,ISM,BWG,FBA2
,ONA,LEX,A319
,IAD,CTB,G280
,AZA,CLD,Unknown
,BFT,TPA,B738
,PLS,SYR,C700
,CVS,ORD,E75L
,MTY,LOV,BE9L
,RDU,SHV,B738
,PNC,SWO,C172
,HHH,BFT,B06
,TEB,VNY,GLF5
,CBM,HAB,T38
,MTX,FBK,H60
,YWG,VNC,A321
,YQT,YKF,SW4
,YTZ,YIP,DH8D
,YYZ,DOH,B789
,YTX,YMB,B738
,YMW,YZE,B38M
,YYC,YYZ,E295
,PMR,NPE,MD52
,GRU,PPY,A321
,PAV,APQ,A20N
,TEB,FXE,LJ45
,CNO,FUL,Unknown
,JNB,FCB,PC12
,DRN,BNE,B77W
,TLC,AZP,LJ60
,BND,HDR,B738
,ANR,VIT,B738
,FRA,POZ,CRJ9
,HAJ,CGN,A20N
,DEN,FRA,A343
,FRA,YLS,B77L
,LIN,BQH,PC24
,MUC,ZRH,PC12
,LTT,CZL,A333
,ANR,MAD,A320
,PMI,POZ,BE20
,DEB,KSC,B738
,DUB,IST,B738
,SAW,CGN,A21N
,SFO,STS,A332
,KLX,SMO,A339
,DWC,GWD,CL60
,TCR,MYQ,A21N
,RNB,EPU,B77L
,MZG,HKG,A321
,FUJ,HUZ,A320
,TYN,SJW,AJ27
,CNI,TOD,B38M
,CMD,SYD,B738
,TMW,OAG,AS50
,SYD,LST,B738
,DEL,LKO,B38M
,FUK,TOD,A321
,FAU,OTP,A320
,AYS,AUS,BCS1
,RBD,LJN,BE35
,FIL,SLC,E75L
,COS,AFF,RV7
,LAX,PTN,G150
,CMH,ORD,B737
,YFE,ORD,B78X
,AVP,IAD,E45X
,FRI,DEN,B38M
,AUS,MEI,B38M
,RHV,TKF,M20P
,AUO,BHM,S22T
,TNT,CTY,BE36
,VHN,GUY,B39M
,ONO,BOI,C182
,MYF,TSP,BE58
,COS,GWO,E75L
,AHN,PPM,SR22
,OTH,RDM,S22T
,PIE,UOX,A319
,JFK,RSW,A319
,BLD,IND,A320
,MSY,FLL,A20N
,TSP,BIH,PC12
,USA,CLT,B407
,CLD,OCN,P28A
,BFI,NIR,LJ45
,NQA,ORL,PC12
,DWH,ACT,CC11
,SCF,PJB,C172
,AFW,PNX,C152
,BOI,REO,B752
,CLT,ORD,CRJ7
,WLW,SEA,B738
,SYI,MRC,PA32
,HCA,ZPH,C56X
,ELA,TPL,RV7
,SGH,MSP,E75L
,MMI,GVL,C182
,BNA,FTY,FA50
,CHS,PDK,B739
,BNA,SUA,C56X
,LOU,MGE,G280
,MHT,JCT,B738
,TEB,OPF,C560
,CFD,SMF,B38M
,COX,CNY,C700
,BFR,LEE,B38M
,DVT,GYR,B738
,SCE,AUS,GLEX
,TYR,INK,PA46
,TEB,SJC,GA6C
,ILE,EDC,B25
,PHL,PBI,B738
,MHZ,OFF,W135
,DEB,MRN,C17
,CUB,YUL,A321
,CEN,YYC,B737
,TPA,YVR,E295
,GRU,PSW,A321
,GMS,GRU,A320
,SDU,POJ,B737
,BDH,LVP,B77W
,SAN,CEN,GLF5
,ZBY,CDE,A333
,PHY,ZBY,B738
,BEM,AOI,GLF5
,BLQ,LEI,CRJX
,BOG,MEX,A359
,OUI,LEJ,A333
,LIN,LHR,A20N
,KUT,FRA,B77L
,FAO,BQH,C56X
,NNA,CPH,B752
,GVA,ORY,A20N
,ECN,GZP,GL5T
,IST,ANK,B738
,SAW,ANK,A21N
,SML,EBH,A339
,LBG,ALG,FA8X
,RIX,TMP,BCS3
,LCA,BUS,B738
,AOY,XXN,A20N
,SAW,BYG,B789
,PPI,TSA,B788
,NLU,FUJ,B77L
,FUO,BKK,B38M
,CGK,HUZ,B38M
,LLG,BZP,BE20
,NAG,HYD,A21N
,KKC,KTI,A333
,RUH,XXN,B738
,SAW,DAC,B789
,BTH,PKN,A320
,SUB,HLP,A320
,VNY,MCO,GL5T
,RDU,MSP,BCS1
,CEV,ORD,E75L
,LGC,YOW,B190
,BIM,LEE,P28R
,HDN,LAS,FA50
,CMH,MKE,E75L
,DXE,UOX,B407
,PAO,WVI,EC45
,MIA,HWO,R44
,GJT,LOL,E545
,PHX,STL,B737
,SLC,RBF,E75L
,RCY,CDK,E75L
,RIC,JAC,CL35
,LAS,SNS,A319
,ICT,AZA,C340
,CDS,LAS,A20N
,MOB,ATL,B738
,LAS,CLD,PC12
,CLD,SEE,R44
,WWD,STL,E545
,SJC,BJC,F2TH
,GEG,BIF,E75L
,AZA,VNY,GLF4
,RKV,GHF,C425
,AUS,FCA,BE40
,ENA,SXQ,C172
,SRW,HCW,BE58
,GLB,PJB,AS50
,SEE,NJK,C172
,DCA,GSP,CRJ7
,OSU,OLY,SB20
,SUA,PNS,C550
,SAT,SNK,BE58
,PCT,MIV,C68A
,GSO,MSP,CRJ9
,DWC,SZX,B748
,GFK,MFI,PA46
,CRX,OLV,BE58
,AUS,OKC,B752
,IAH,CRT,B763
,RNO,IAH,A21N
,NQX,MIA,AT75
,IAD,GRR,C56X
,NPH,BTF,Unknown
,MKC,COU,C172
,HHR,PRB,PA24
,NRB,BUF,E75L
,FLL,FXE,AS50
,RKP,SGR,HDJT
,ICS,DVT,TBM8
,MHR,SNA,C25A
,RDU,WTD,B738
,WEA,ASL,C185
,SRQ,APF,C750
,SAN,FUL,B429
,SNA,MOD,BE40
,APF,BRD,C25C
,EWK,RTN,BE20
,HUA,GAD,PA24
,LBB,ICT,BE58
,OCN,CLD,SR20
,LNA,PBI,C525
,HAW,HHN,C17
,YLW,YRV,P46T
,YHS,MNL,B789
,OLF,BTM,B38M
,NCE,YQB,C17
,WTZ,AMZ,RV7
,FLL,PLU,GLEX
,MTY,GYM,A320
,TIJ,GYM,A21N
,ZBY,NAK,B738
,LYS,MUC,CRJX
,AGP,LEI,C172
,MUC,RZE,CRJ9
,KZS,HAJ,A20N
,OPO,CAI,A20N
,KUT,CAI,B77L
,NCE,NAP,P180
,QAQ,RNE,BW6T
,GNI,HLP,GLEX
,KNF,QCY,S05R
,BLK,WRT,C172
,NQT,SQZ,DA42
,ANR,LIL,C56X
,BLJ,WIL,A333
,LIN,QLS,PC12
,MXP,CWC,E55P
,WAW,BZI,B38M
,FAO,BER,A20N
,HAJ,ISL,B738
,IST,ESB,B738
,BLR,DXB,B738
,BEG,QND,BCS3
,KTE,KUL,A333
,MYY,TOD,A320
,SIN,KUL,A20N
,ZUH,SZX,A320
,DAT,BFV,B38M
,CAN,JJN,A20N
,BNE,BDB,BE20
,KGI,ADL,ALIG
,BNE,NTL,A332
,BOM,COK,A20N
,AUH,SUH,A21N
,LKO,DEL,B38M
,SHM,NRT,A320
,KJP,SDS,B738
,SIQ,PEN,A320
,PDX,IAH,BCS1
,STT,SCF,G280
,LAS,TPL,H25B
,SRC,ARG,T206
,SDF,BUF,A306
,SDM,GYM,CL35
,ORD,GRU,B78X
,ATL,MDW,B39M
,BPT,DAG,B737
,PAO,HWD,C172
,RDU,RKH,P28A
,PPA,RSW,C750
,CDD,PIE,A319
,BNA,CWF,SR22
,LGU,BTF,T206
,GWO,DTW,A319
,HHH,MSP,A320
,LEE,DEN,A20N
,FTW,BEC,BE40
,APF,GRR,E55P
,ISJ,CUN,HDJT
,PIR,TIW,C25C
,SRQ,SPG,C182
,CKV,MQY,P28A
,SEE,PRB,P46T
,ORH,CGF,Unknown
,GDT,CUN,A21N
,FRG,PBI,C68A
,RDD,MHS,PA34
,MKL,NQA,C340
,GSO,TPA,A21N
,CLW,GNV,S22T
,ORD,IND,E170
,COF,TVI,B752
,HEL,HPN,GLEX
,CHS,DTW,A320
,SCF,BEC,E55P
,ADS,SGF,H25B
,HPY,AFW,C82R
,WSG,CLT,LJ60
,LAS,MXC,B737
,TPA,TUL,C560
,ALS,ATL,B739
,LCH,CWF,P28A
,MBY,ODC,B738
,TAD,TPA,B738
,CLT,RNC,A21N
,BOS,NWH,P212
,BID,SUA,C750
,TCS,GLE,A321
,SJU,CHS,C17
,ALX,OAJ,V22
,YUL,YND,CRJ9
,FRG,YQG,CL60
,MOT,YYZ,B789
,SIN,YYZ,B789
,ORF,MIA,C25B
,YOW,SSI,E295
,QHV,POA,C208
,FXE,TNT,Unknown
,LGW,BCN,A320
,TFN,SVQ,A320
,TNG,CDT,A321
,ANR,DUB,B738
,BYJ,BDC,A359
,DWC,ANR,FA7X
,MUC,KRK,A20N
,MRS,LBG,C25A
,BBP,SOU,C172
,BYG,GJL,A388
,EDI,LHR,A21N
,IBZ,FDH,C510
,MUC,ORY,A20N
,IST,BAH,A333
,ELT,YEI,A21N
,DUB,LTN,CL60
,EWR,LRA,B789
,MKZ,TGA,DA40
,AYN,SIN,B788
,PEK,HKG,A333
,TYN,NAY,B738
,MBW,TGN,C172
,GSN,XML,E190
,CCU,BLR,A320
,BBI,DEL,B38M
,MMJ,NRT,A20N
,BOM,DOH,A21N
,SLT,SMO,BCS1
,YYC,MEM,B763
,SUS,GCM,C750
,CHK,OUN,EC30
,LOV,AFW,BE20
,CID,IOW,C56X
,FSM,FYV,EC35
,HSH,CGZ,R44
,PSP,SDM,C172
,CEY,PHX,B38M
,ORD,TPA,B39M
,EDE,INW,A321
,OVE,PYS,C182
,GON,APF,C25C
,CPX,VQS,C402
,SFO,MNL,B77W
,WWD,TEB,CL60
,BWI,JCT,B737
,MLF,MKO,E75L
,SLC,OGD,P28A
,DEL,TEB,GL5T
,DVT,PXL,AEST
,EGE,DAB,G280
,GSP,CDN,PA32
,BIE,GRI,G280
,PGR,MAW,BE35
,LLY,MCO,A20N
,GUY,MSP,A321
,SUS,MAC,B738
,LGD,SAF,B738
,APC,RDD,C172
,AIK,GGE,PA31
,APA,VKS,GLF4
,HVN,LOZ,FA20
,HPN,SJC,CL35
,TYS,BKL,CRJ9
,APF,TPF,C152
,MKC,ECP,P180
,DDC,MSN,BE58
,UOX,PBI,C56X
,MSN,GRI,SR22
,SRQ,FTW,FA7X
,AVW,PJB,C172
,SLC,SUN,C25B
,PBI,AHN,CL60
,BDL,RIC,E75L
,ETB,ORD,E170
,EZE,MMS,B772
,KIX,MEM,B77L
,CDD,TPA,FA50
,DEN,GCN,E75L
,SCK,MHR,DA40
,BGE,EUE,B38M
,NLD,FRG,F900
,ILG,APF,E55P
,TPF,AZA,C25C
,SRQ,MPS,SF50
,DFW,SFO,A21N
,BJC,HLC,CRJ2
,PTK,LAS,H25B
,BOS,MCO,A20N
,SDM,NKX,F5
,AKL,YZT,B789
,YPA,YQQ,C295
,WRE,TRG,PA27
,NSN,WLG,DH8C
,SOD,QCH,C56X
,VCP,AQA,A20N
,WBU,AFF,Unknown
,ISL,AYT,Unknown
,BEM,MEK,B788
,FDF,BGI,CRJ2
,TLC,CVJ,LJ31
,CVJ,MTY,A320
,SPC,LPA,AT76
,VNO,FRA,A20N
,CWB,VEY,B77L
,FEL,MUC,BE23
,BID,ALG,A333
,FCO,LIS,A320
,XLS,FRA,A20N
,DAC,KCO,A333
,ANK,NUE,A21N
,SKG,GBA,B789
,MMY,MNL,A339
,BTH,KBR,A20N
,HKG,FOC,A333
,SXT,KTE,B738
,MFM,ZUH,A20N
,ADL,PUG,AC90
,IXC,BDQ,A320
,IXC,GAU,A20N
,ITM,OKJ,B738
,KMJ,UEO,B738
,HND,SHM,B763
,PKN,PKX,A321
,SEA,TPE,A359
,KUL,CGK,A320
,SMF,CSN,BT36
,MSL,DFW,CL30
,SZP,MSC,C172
,TEX,ELM,B752
,HCR,FAI,C208
,TOI,BXS,GLF4
,OSU,HAO,C182
,XSP,SIQ,BE55
,SCF,BLH,E135
,OCF,BTR,P28R
,HOU,DAL,CL60
,PNX,DUA,PA32
,PPM,APF,BE58
,DAB,MLB,A20N
,CEN,AXX,B738
,DAL,LAS,GALX
,FXE,SLC,B738
,PHL,PTK,E55P
,DCA,YQS,E75L
,MKO,ABI,B06
,RBF,RAL,C172
,CYS,WPO,C425
,LWL,SFO,A320
,ARA,RBL,B738
,FXE,DAB,C172
,LGA,FLL,A320
,SSI,ISP,EPIC
,RIV,SNA,PA24
,TRC,FDY,A21N
,SGU,BTF,S22T
,RHV,HLI,RV10
,FLL,EWR,A321
,MRY,RHV,M20P
,FSM,BNA,C550
,GRR,PHX,A319
,MKE,UST,B737
,TLH,MEI,BE35
,GRU,YPN,B772
,RUH,DFW,B789
,IFP,MIA,B738
,PHX,TPA,B738
,ACY,TTN,C172
,DVT,MSC,SR20
,SBA,TSP,RV9
,MCO,VQS,B738
,VGT,INS,RV4
,EDC,JCY,C182
,BNA,PTK,C56X
,OPF,SAQ,F2TH
,SDF,RNO,C130
,MTT,BZN,B38M
,VCP,DIQ,A20N
,BUR,SMO,Unknown
,OBE,SUA,Unknown
,SCK,APC,Unknown
,YUL,YYZ,B788
,RYB,DME,A320
,VLC,RJL,AT76
,PAZ,BGC,A359
,MXP,LPY,B738
,FRA,LJU,CRJ9
,OSL,VAR,A20N
,CVG,MXP,A333
,MNL,FJR,B77L
,LHR,HAM,A21N
,AMS,EIN,B738
,ORY,MUC,A20N
,BXO,EML,DR40
,EML,ZRH,DV20
,ONQ,TCR,A333
,ANK,MEK,A21N
,LBG,FAB,CL60
,HSS,XXN,A20N
,DTE,DRP,A20N
,MMY,FOC,B788
,BUD,SIN,B744
,SIN,AAV,A20N
,HDF,PEK,B77W
,HDG,WEH,A20N
,MCY,CUD,B06
,RMK,BHQ,BE20
,BHS,BWU,BE55
,PNY,CDP,A21N
,RQY,CDP,B38M
,KUA,KTE,FA8X
,PEN,MES,A320
,GOK,APF,E50P
,VNY,NVN,BE95
,FAT,ACV,BE20
,IAH,HPY,E45X
,DSM,DTW,CRJ9
,GHM,IAH,B737
,LNS,RIC,C182
,BMI,UOX,BE36
,BZN,PBI,CL60
,MTJ,BWI,B737
,BYS,MHR,E75L
,TDZ,YQG,E75L
,DTW,GDT,B763
,EMP,RVS,RV7
,PAO,SJC,PA46
,DTW,CLU,CRJ9
,LBL,IOW,EC30
,MSY,LAA,A20N
,WBU,LXV,C340
,DTW,FLL,A321
,CSN,MEV,C172
,TNP,RBK,FOX
,TDW,ROW,BE20
,EAT,BFI,E55P
,DGW,LAX,E55P
,WRG,JNU,AS50
,ATL,YQY,A339
,RHV,WVI,GYRO
,RDU,USA,S22T
,SGF,AIZ,P32R
,SAS,SBP,S22T
,LUF,BXK,C150
,SAT,ACT,C172
,UVA,LEE,FA50
,GRD,MYG,A320
,CHS,GMU,S22T
,RIL,PWK,GLF5
,MIV,SFB,C68A
,CBK,GCK,C56X
,STX,PTK,GLF5
,LPO,ORD,B753
,BFM,NHX,M20P
